FRASE,LIBRO,AUTOR
"El deseo de deshacer el pasado es comprensible pero fútil, y nos ciega a las 
oportunidades del presente. ",Trascendiendo los niveles de consciencia,David Hawkins
"Hace falta tiempo para que madure el descubrimiento de que la 
pérdida es “una bendición disfrazada”. ",Trascendiendo los niveles de consciencia,David Hawkins
Cuanto más amamos mas podermos amar,Trascendiendo los niveles de consciencia,David Hawkins
"La entrega de todas las creencias limitantes, los posicio- 
namientos, las dudas y los apegos permite el fluir de la energía 
espiritual, que va acompañada de la devoción (calibra en 555).",Trascendiendo los niveles de consciencia,David Hawkins
"El amor incondicional es un 
estado y una manera de estar en el mundo que surge del compro- 
miso serio con el principio espiritual de renunciar a todos los 
obstáculos, limitaciones y posicionamientos, y a sus recompensas que amenudo son inconscientes ",Trascendiendo los niveles de consciencia,David Hawkins
"La culpa es consecuencia del recuerdo de acciones pasadas que 
lamentamos. Dichas acciones solo pueden ser trascendidas me- 
diante la re-contextualización. ",Trascendiendo los niveles de consciencia,David Hawkins
"La renuencia a perdonar es consecuencia no solo de la falta de 
disposición del ego a soltar el “jugo” (recompensa) que tiene para 
él la injusticia percibida, sino también a la ilusión de que los demás 
“no se lo merecen”. ",Trascendiendo los niveles de consciencia,David Hawkins
" Lo que el ego es incapaz 
de levantar con todo su poder es como una pluma para la Gracia 
de Dios",Trascendiendo los niveles de consciencia,David Hawkins
"Como corchos en el mar, cada uno flota segun su nivel de flotabilidad,  que nio se debe a niongun acto arbitrario del mar",Trascendiendo los niveles de consciencia,David Hawkins
"El ego siente envidia de lo que intuye que es superior a sus li- 
mitaciones, y por lo tanto odia y denuncia lo que no puede enten- 
der. Tiene interés en denigrar y considerar que está mal aquello que 
no puede comprender. Así, el escéptico odia sutilmente la verdad 
espiritual o la conciencia superior y sus valores ",Trascendiendo los niveles de consciencia,David Hawkins
"“Lo que es una calamidad para el hombre es una 
oportunidad para Dios”.",Trascendiendo los niveles de consciencia,David Hawkins
" la persona espiritualmente humilde no puede ser humillada, y, por lo tanto, 
puede aceptar sus faltas sin pérdida de autoestima.",Trascendiendo los niveles de consciencia,David Hawkins
"la Realidad Absoluta, que es invulnerable a la pérdida.",Trascendiendo los niveles de consciencia,David Hawkins
" La adquisición es básicamente un 
instinto de supervivencia animal, que depende de “conseguir” una 
pareja, alimento, territorio, abrigo, dominancia y control.",Trascendiendo los niveles de consciencia,David Hawkins
"La felicidad viene de “ahí fuera”. Por lo tanto, es “conseguible” y está 
sujeta a la pérdida. ",Trascendiendo los niveles de consciencia,David Hawkins
"l ego/mente atesora lo temporal y transitorio porque lo valora como “especial” y, 
por lo tanto, lo ve como una “fuente” de felicidad.",Trascendiendo los niveles de consciencia,David Hawkins
"El cambio 
puede ser una fuente de placer anticipatorio si es elegido, y una 
fuente de resentimiento si nos resistimos a él.",Trascendiendo los niveles de consciencia,David Hawkins
"s. La única fuente de 
felicidad que tiene una base realista está en el presente, y lo que 
está en el presente no está sujeto a pérdida.",Trascendiendo los niveles de consciencia,David Hawkins
"Así, en realidad cada pérdida representa todas las pérdidas, porque lo que se experimenta es la 
pérdida misma y no solo el suceso específico que la trajo a la conciencia.",Trascendiendo los niveles de consciencia,David Hawkins
"El lamento 
también es consecuencia de dar realidad a lo hipotético (por ejem- 
plo, “debería haber”, “podría haber”, o “si hubiera elegido otra 
cosa”, etc.). Esto también incluye la ilusión de que las decisiones 
hipotéticamente “mejores” hubieran aportado beneficios o mayor 
felicidad. Estas suposiciones ignoran que la evolución se sitúa en 
una curva de aprendizaje ",Trascendiendo los niveles de consciencia,David Hawkins
"Mientras que la culpa, la vergüenza y la pena representan el 
pasado, el miedo es una anticipación enfocada en el futuro.",Trascendiendo los niveles de consciencia,David Hawkins
"el alineamiento reli- 
gioso/espi-tual con la fe es capaz de reducir los niveles generales 
de temor.",Trascendiendo los niveles de consciencia,David Hawkins
"Casi todos los 
miedos sociales, psicológicos y físicos solo son elaboraciones in- 
conscientes del miedo a la muerte,",Trascendiendo los niveles de consciencia,David Hawkins
"Finalmente, cuando se acepta la muerte y se la entrega a Dios, el núcleo del temor desapa- 
rece",Trascendiendo los niveles de consciencia,David Hawkins
"Todo miedo es producto de estar en la etapa evolutiva del ego, y 
está asociado con la dimensión física. ",Trascendiendo los niveles de consciencia,David Hawkins
Todo temor es el producto de la persitencia del ego y de su negativa por dejar su soberanua en manos de la voluntad de Dios,Trascendiendo los niveles de consciencia,David Hawkins
"Elegir conscientemente alinearnos 
con la Verdad y la Divinidad nos fortalece y cambia la identidad del 
yo al Ser, incrementando la confianza, el coraje y la dignidad per- 
sonal, en lugar de la autohumillación y la denigración. ",Trascendiendo los niveles de consciencia,David Hawkins
". Cuando la emoción ex- 
pande el deseo, podemos experimentarlo como “necesidad”. La",Trascendiendo los niveles de consciencia,David Hawkins
" la verdadera fuente de placer es un meca- 
nismo cerebral interno que se activa mediante la adquisición de 
algo “deseado”. E",Trascendiendo los niveles de consciencia,David Hawkins
" la sensación interna de carencia produce insatisfacción crónica, sen- 
sación de no estar completo y comportamientos de búsqueda 
constante",Trascendiendo los niveles de consciencia,David Hawkins
" la gratificación depende de adquirir 
cosas externas. ",Trascendiendo los niveles de consciencia,David Hawkins
"problema del deseo está vinculado con la tendencia del ego a 
proyectar que los objetos, personas o cualidades relacionados con 
él son “especiales”. Así, a la persona, al atributo o a la posesión 
deseados se les infla, se les envuelve en romanticismo y se les 
hace atractivos mediante atributos mágicos exagerados",Trascendiendo los niveles de consciencia,David Hawkins
"A lo que uno está apegado es a la sensación interna que pro- 
duce el sistema de recompensas que se activa en el cerebro, q",Trascendiendo los niveles de consciencia,David Hawkins
"Cuando 
satisfacer la compulsión se convierte en la actividad dominante, la inhibición mediante la razón se vuelve fútil e inoperante, co",Trascendiendo los niveles de consciencia,David Hawkins
"La ira que surge del deseo frustrado se basa en el campo energético inferior (deseo). Y la frustración es producto de exagerar la 
importancia de los deseos. ",Trascendiendo los niveles de consciencia,David Hawkins
"El ego narcisista es competitivo y tiende a sentirse ofendido e 
insultado ante la mínima provocación",Trascendiendo los niveles de consciencia,David Hawkins
"
Así, la persona enfadada ve lo que no sirve a su ego como si fuera un enemigo.",Trascendiendo los niveles de consciencia,David Hawkins
"de la personalidad iracunda puede verse en el 
clásico coleccionista de injusticias que alimenta agravios y, por 
extensión paranoica, los recolecta para justificar su hostilidad. 
Es",Trascendiendo los niveles de consciencia,David Hawkins
" no existe el “resentimiento justificado”. Al ego 
también le gusta citar interpretaciones falsas y erróneas de la his- 
toria para justificar su extremismo.",Trascendiendo los niveles de consciencia,David Hawkins
"La ira nio guarda relacion con lo que los otros SON, sino con lo que NO SON.",Trascendiendo los niveles de consciencia,David Hawkins
"Como “el orgullo precede a la caída”, es vulnerable y mantiene 
una actitud defensiva ",Trascendiendo los niveles de consciencia,David Hawkins
" El orgullo sigue siendo débil porque puede ser arrojado de su pedestal para caer en la vergüenza, y 
esta es la amenaza que activa el temor a perderlo.",Trascendiendo los niveles de consciencia,David Hawkins
"ad. La inflación del ego a la que da 
lugar el orgullo es el núcleo de su vulnerabilidad, en",Trascendiendo los niveles de consciencia,David Hawkins
"ás. La autoestima del orgullo descansa sobre una opinión 
exagerada e inflada, más que sobre la realidad. Así, el ego busca 
confirmación, que descansa sobre las inseguras premisas de la 
opinión.",Trascendiendo los niveles de consciencia,David Hawkins
". La vanidad genera sensibilidad a los menosprecios y las 
comparaciones, lo que conduce al miedo a ser atacado y a la para- 
noia social,",Trascendiendo los niveles de consciencia,David Hawkins
"a la 
opinión como función del ego, se revela que no es más que una 
idea a la que se le ha añadido importancia porque es “mía”. U",Trascendiendo los niveles de consciencia,David Hawkins
"El ego 
malinterpreta la humildad como un equivalente de la humillación, 
cuando en realidad es la mayor salvaguarda contra la humillación o 
la vulnerabilidad. ",Trascendiendo los niveles de consciencia,David Hawkins
" un conjunto de expectativas rígido da 
como resultado una autoestima frágil. L",Trascendiendo los niveles de consciencia,David Hawkins
"La aceptación de uno mismo es el resultado de renunciar a la duda. Todo lo que 
existe es intrínsecamente igual por virtud de su creación y de la fuente de dicha creación. ",Trascendiendo los niveles de consciencia,David Hawkins
" Todo el mérito por los logros se lo atribuimos a Dios como 
Presencia interna de la Divinidad, en vez de al ego, y así los logros 
generan gratitud y alegría, en lugar de orgullo vulnerable.",Trascendiendo los niveles de consciencia,David Hawkins
" Cuanto menos “deseos” prevalecen, mayor es 
nuestro grado de libertad. ",Trascendiendo los niveles de consciencia,David Hawkins
"“Yo, por mí mismo, en realidad no sé nada” ",Trascendiendo los niveles de consciencia,David Hawkins
" A medida que evolucionamos, podemos 
considerar que lo que el mundo admira es un estorbo, y lo que el 
mundo considera una pérdida es libertad espiritual. La paz interna 
es el resultado de entregar tanto las atracciones como las aver- 
siones.",Trascendiendo los niveles de consciencia,David Hawkins
"El coraje implica estar dispuesto a probar cosas nuevas y a afron- 
tar las vicisitudes de la vida. ",Trascendiendo los niveles de consciencia,David Hawkins
"os. El 
nivel del coraje implica superar el miedo a perder las ganancias, 
que es reemplazado por las recompensas a largo plazo de la ver- 
dad.",Trascendiendo los niveles de consciencia,David Hawkins
